지역,센터명,주소,전화번호
서울,서울시청소년상담복지센터,(04543) 서울시 중구 을지로 11길 23 7층,02-2285-1318
서울,노원구청소년상담복지센터,(06138) 서울시 노원구 덕릉로777 2층,02-2091-1387
서울,양천구청소년상담복지센터,(07991) 서울시 양천구 목동서로 143 목동청소년수련관 1층,02-2646-8341
서울,영등포구청소년상담복지센터,(07317) 서울시 영등포구 도영로22길 36 해광빌딩 2층,02-2676-6114
서울,동작구청소년상담복지센터,(07062) 서울시 동작구 여의대방로 20길 33 시립보라매청소년수련관 슬기동 2층,02-845-1388
서울,강남구청소년상담복지센터,(06362) 서울시 강남구 광평로 144(수서동 749) 2층,02-2226-8555
서울,중랑구청소년상담복지센터,(02254) 서울시 중랑구 용마산로 217 청소년수련관 3층 중랑구청소년상담복지센터,02-496-1895
서울,강북구청소년상담복지센터,(01012) 서울시 강북구 4.19로 74 강북청소년수련관 3층,02-6715-6661
서울,도봉구청소년상담복지센터,(01412) 서울시 도봉구 노해로 69길 132 창동문화체육센터 1층,02-6956-4501
서울,성동구청소년상담복지센터,(04750) 서울시 성동구 고산자로 260 성동청소년수련관 3층 308호,02-2299-1388
서울,금천구청소년상담복지센터,(08645) 서울시 금천구 금하로 30길 54 (시흥동) 금천청소년수련관 2층,02-803-1873
서울,서대문구청소년상담복지센터,(03676) 서울시 서대문구 증가로30길 45-9 휴먼센터 3~4층,02-3141-1318
서울,은평구청소년상담복지센터,"(03476) 서울시 은평구 백련산로 4길 16, 은평청소년수련관",02-384-1318
서울,서초구청소년상담복지센터,"(06703) 서울시 서초구 방배로5길 11, 2층(방배동, 구립방배유스센터 내)",02-525-9128
서울,서초구청소년상담복지센터 부설내곡센터,"(06802) 서울시 서초구 청계산로15길 77, 3층(신원동, 내곡열린문화센터 내)",02-529-9128
서울,송파구청소년상담복지센터,(05834) 서울시 송파구 중대로 4길 4 송파청소년수련관 3층,02-449-7173
서울,마포구청소년상담복지센터,"(03937) 서울시 마포구 월드컵로 212, 1층(성산동, 서울시립마포청소년수련관내)",02-3153-5982
서울,광진구청소년상담복지센터,"(05072) 서울시 광진구 자양4동(아차산로 24길 17), 자양공공힐링센터 3층",02-2205-2300
서울,강서구청소년상담복지센터,(07647) 서울시 강서구 공항대로 42길 23-19 강서청소년회관 3층,02-2061-8998
서울,관악구청소년상담복지센터,(08825) 서울시 관악구 신림로3길 35 김삼준문화복지기념관 1층,02-872-1318
서울,동대문구청소년상담복지센터,"(02586) 서울시 동대문구 천호대로2길 23-9, 신설동복지지원센터 2층",02-2236-1318
서울,용산구청소년상담복지센터,(04316) 서울시 용산구 백범로 329(원효로 1가) 꿈나무종합타운 4층,02-706-1318
서울,구로구청소년상담복지센터,"(08256) 서울시 구로구 부일로 949(궁동 204-4) 3층, 구로구청소년상담복지센터",02-852-1319
서울,강동구청소년상담복지센터,(05211) 서울시 강동구 아리수로93길 47 서울시립강동청소년수련관 2층,070-8819-1388
서울,종로구청소년상담복지센터,(03076) 서울시 종로구 창경궁로 35가길 13,02-762-1318
서울,성북구청소년상담복지센터,(02814) 서울시 성북구 정릉로 242 성북아동청소년센터 4층,02-3292-1779
부산,부산광역시청소년상담복지센터,"(47247) 부산시 부산진구 서전로 43, 6층(전포동)",051-804-5001
부산,영도구청소년상담복지센터,(49113) 부산시 영도구 절영로 321 함지골청소년수련원,051-405-5605
부산,부산진구청소년상담복지센터,"(47209) 부산시 부산진구 동평로 405번길 85, 양정청소년수련관 2층",051-868-0956
부산,금정구청소년상담복지센터,"(46267) 부산시 금정구 기찰로 96번길 47, 2층",051-581-2084
부산,북구청소년상담복지센터,(46579) 부산시 북구 덕천로3(구포1동 610-1),051-343-1388
부산,해운대구청소년상담복지센터,(48088) 부산시 해운대구 해운대로 575 국제빌딩 11층,051-731-4046
부산,수영구청소년상담복지센터,(48308) 부산시 수영구 수영로 410-1 자미빌딩 2층,051-759-8413
부산,사하구청소년상담복지센터,(49412) 부산시 사하구 동매로 161,051-207-7169
부산,부산남구청소년상담복지센터,"(48494) 부산시 남구 유엔평화로 24, 5층",051-621-1389
부산,기장군청소년상담복지센터,"(46069) 부산시 기장군 기장읍 차성서로 86, 대라다목적도서관 4층",051-792-4880
부산,동래구청소년상담복지센터,(47710) 부산시 동래구 중앙대로 1523 SK허브스카이 A3동 06호,051-555-1388
부산,부산서구청소년상담복지센터,(49206) 부산시 서구 시약로 125 1층~3층,051-714-3013
부산,사상구청소년상담복지센터,"(46931) 부산시 사상구 덕상로 129 (모라동, 사상구청소년수련관 내 3층)",051-327-1388
대구,대구광역시청소년상담복지센터,(41934) 대구시 중구 중앙대로 81길 66-5 대구청소년지원재단 3층,053-659-6240
대구,달서구청소년상담복지센터,(42726) 대구시 달서구 학산로 7길 39(월성동),053-638-1388
대구,달서구청소년상담복지센터,(42609) 대구시 달서구 계대동문로 11길 33,053-592-1377
대구,수성구청소년상담복지센터,"(42027) 대구시 수성구 달구벌대로 2451(범어동, 범어도서관 5층)",053-759-1388
대구,대구동구청소년상담복지센터,"(41155) 대구시 동구 동촌로 16길 20, 아인빌딩 2층",053-984-1319
대구,대구서구청소년상담복지센터,"(41770) 대구시 서구 서대구로222, 3층",053-562-1388
대구,대구북구청소년상담복지센터,"(41434) 대구시 북구 대천로 21, 구수산도서관 1층",053-324-1388
대구,대구달성군청소년상담복지센터,"(42985) 대구시 달성군 논공읍 논공로 252, 3층",053-614-1388
