지역,센터명,시도명,시군구명,주소,전화번호_1,전화번호_2,전화번호_3,홈페이지
서울,서울시청소년상담복지센터,서울특별시,중구,(04543) 서울특별시 중구 을지로 11길 23 7층,02-2285-1318,02-2285-1318,02-2285-1315,www.teen1318.or.kr
서울,노원구청소년상담복지센터,서울특별시,노원구,(01616) 서울특별시 노원구 수락산로212-19 2층,02-2091-1388,02-2091-1388,02-2091-1389,www.nowonyouthcenter.org
서울,양천구청소년상담복지센터,서울특별시,양천구,"(08067) 서울특별시 양천구 남부순환로83길 53, 신월6동 행정복합타운 2층",02-2646-8341,02-2646-8341,02-2646-8342,http://yangcheon1388.or.kr/
서울,영등포구청소년상담복지센터,서울특별시,영등포구,(07317) 서울특별시 영등포구 도영로22길 36 해광빌딩 2층,02-2676-6114,02-844-0924,02-2636-2071,www.young1318.com
서울,동작구청소년상담복지센터,서울특별시,동장구,(07062) 서울특별시 동작구 여의대방로 20길 61 시립보라매청소년센터 슬기동 2층,02-845-1388,02-834-1355,02-831-0365,http://djyc1388.or.kr/
서울,강남구청소년상담복지센터,서울특별시,강남구,(06362) 서울특별시 강남구 광평로 144 (수서동 749) 2층,02-2226-7667,02-2226-8555,02-2226-1387,www.gnyc.or.kr
서울,중랑구청소년상담복지센터,서울특별시,중랑구,(02254) 서울특별시 중랑구 용마산로 217 청소년수련관 3층,02-496-1895,02-490-0222,02-496-1894,www.jn1318.or.kr
서울,강북구청소년상담복지센터,서울특별시,강북구,(01012) 서울특별시 강북구 4.19로 74 강북청소년수련관 3층,02-6715-6661,02-6715-6661~7,02-6715-6668,www.gb1318.or.kr
서울,도봉구청소년상담복지센터,서울특별시,도봉구,(01412) 서울특별시 도봉구 노해로 69길 132 문화체육센터 1층,02-6956-4501,02-6956-4508,02-6956-4512,www.db1318.or.kr
서울,성동구청소년상담복지센터,서울특별시,성동구,(04718) 서울특별시 성동구 행당로6길 24-15,02-2299-1388,02-2299-1388,02-2296-1389,http://sdyc.or.kr
서울,금천구청소년상담복지센터,서울특별시,금천구,(08645) 서울특별시 금천구 금하로 30길 54 (시흥동) 금천청소년수련관 2층,02-803-1873,02-803-1873,02-804-1387,www.gc1388.or.kr
서울,서대문구청소년상담복지센터,서울특별시,서대문구,(03676) 서울특별시 서대문구 증가로30길 45-9 휴먼센터 3~4층 ,02-3141-1318,02-3141-1318,02-334-0339,www.sdm7979.or.kr/
서울,은평구청소년상담복지센터,서울특별시,은평구,(03476) 서울특별시 은평구 백련산로 4길 16 은평청소년수련관,02-384-1318,02-384-1318,02-383-0508,www.woori1318.or.kr
서울,서초구청소년상담복지센터,서울특별시,서초구,"(06703) 서울특별시 서초구 방배로5길 11 2층 (방배동, 구립방배유스센터 내)",02-525-9128,02-525-9128(308),02-522-9128,http://seocho1318.com/
